
覂	feng
體	ti
髗	lu
髖	kuan
髙	gao
高	gao
髛	kao
髚	qiao
髝	lao
髜	qiao
髞	sao
髀	bi
髁	ke
髂	qia
髃	yu
髄	sui
髅	lou
髆	bo
髇	xiao
髈	pang
髉	bo
髊	ci
髋	kuan
髌	bin
髍	mo
髎	liao
髏	lou
髲	bi
髱	pao
髰	ti
髷	qu
髶	rong
髵	er
髴	fu
髻	ji
髹	xiu
髸	gong
髿	sha
髾	shao
髽	zhua
髼	peng
髢	di
髣	fang
髠	kun
髡	kun
髦	mao
髧	dan
髤	xiu
髥	ran
髪	fa
髫	tiao
髨	kun
髩	bin
髮	fa
髯	ran
髬	pi
髭	zi
騜	huang
騝	qian
騞	huo
騟	yu
騘	cong
騙	pian
騚	qian
騛	fei
騔	ge
騕	yao
騖	wu
騗	pian
騐	yan
騑	fei
騒	sao
験	yan
騍	ke
騌	zong
騏	qi
騎	qi
騉	kun
騈	pian
騋	lai
騊	tao
騅	zhui
騄	lu
騇	she
騆	dong
騁	cheng
騀	e
騃	ai
騂	xing
騾	luo
騿	zhang
騼	lu
騽	xi
騺	zhi
騻	shuang
騸	shan
騹	li
騶	zou
騷	sao
騴	yan
騵	yuan
騲	cao
騳	du
騰	teng
騱	xi
騯	bang
騮	liu
騭	zhi
騬	cheng
騫	qian
騪	sou
騩	tui
騨	tuo
騧	gua
騦	si
騥	rou
騤	kui
騣	zong
騢	xia
騡	quan
騠	ti
驘	luo
驙	zhan
驚	jing
驛	yi
驜	ye
驝	tuo
驞	pin
驟	zhou
驐	dun
驑	liu
驒	tuo
驓	ceng
驔	dian
驕	jiao
驖	tie
驗	yan
驉	xu
驈	yu
驋	bo
驊	hua
驍	xiao
驌	su
驏	zhan
驎	li
驁	ao
驀	mo
驃	biao
驂	can
驅	qu
驄	cong
驇	zhi
驆	bi
驺	zou
驻	zhu
驸	fu
驹	ju
驾	jia
驿	yi
驼	tuo
驽	nu
驲	ri
驳	bo
驰	chi
驱	qu
驶	shi
驷	si
驴	lv
驵	zang
驫	biao
驪	li
驩	huan
驨	xi
驯	xun
驮	tuo
驭	yu
马	ma
驣	teng
驢	lv
驡	long
驠	yan
驧	ju
驦	shuang
驥	ji
驤	xiang
鮆	ji
鮇	wei
鮄	fu
鮅	bi
鮂	qiu
鮃	ping
鮀	tuo
鮁	ba
鮎	nian
鮏	xing
鮌	gun
鮍	pi
鮊	ba
鮋	you
鮈	ju
鮉	diao
鮗	dong
鮖	shi
鮕	gu
鮔	ju
鮓	zha
鮒	fu
鮑	bao
鮐	tai
鮟	an
鮞	er
鮝	xiang
鮜	hou
鮛	shu
鮚	jie
鮙	die
鮘	dai
鮤	lie
鮥	luo
鮦	tong
鮧	yi
鮠	wei
鮡	zhao
鮢	zhu
鮣	yin
鮬	ku
鮭	gui
鮮	xian
鮯	ge
鮨	yi
鮩	bing
鮪	wei
鮫	jiao
鮵	duo
鮴	xiu
鮷	ti
鮶	jun
鮱	lao
鮰	hui
鮳	kao
鮲	fu
鮽	yu
鮼	qin
鮿	zhe
鮾	nei
鮹	shao
鮸	mian
鮻	suo
鮺	zha
鯂	su
鯃	wu
鯀	gun
鯁	geng
鯆	pu
鯇	huan
鯄	qiu
鯅	ting
鯊	sha
鯋	sha
鯈	chou
鯉	li
鯎	cheng
鯏	li
鯌	kao
鯍	meng
鯓	shen
鯒	yong
鯑	xi
鯐	zou
鯗	xiang
鯖	qing
鯕	qi
鯔	zi
鯛	diao
鯚	ji
鯙	chun
鯘	nei
鯟	dong
鯞	zhou
鯝	gu
鯜	qie
鯠	lai
鯡	fei
鯢	ni
鯣	yi
鯤	kun
鯥	lu
鯧	chang
鯨	jing
鯩	lun
鯪	ling
鯫	zou
鯬	li
鯭	meng
鯮	zong
鯯	ji
鯱	hu
鯰	nian
鯳	di
鯲	yu
鯵	shen
鯴	shi
鯷	ti
鯶	huan
鯹	xing
鯸	hou
鯻	la
鯺	zhu
鯽	ji
鯼	zong
鯿	bian
鯾	bian
鬏	jiu
鬎	la
鬍	hu
鬌	duo
鬋	jian
鬊	shun
鬉	zong
鬈	quan
鬇	zheng
鬆	song
鬅	peng
鬄	ti
鬃	zong
鬂	bin
鬁	li
鬀	ti
鬞	nang
鬟	huan
鬜	qian
鬝	qian
鬚	xu
鬛	lie
鬘	man
鬙	seng
鬖	san
鬗	man
鬔	peng
鬕	ma
鬒	zhen
鬓	bin
鬐	qi
鬑	lian
鬭	dou
鬬	dou
鬯	chang
鬮	jiu
鬩	xi
鬨	hong
鬪	dou
鬥	dou
鬤	ning
鬧	nao
鬦	dou
鬡	ning
鬠	kuo
鬣	lie
鬢	bin
鬼	gui
鬽	mei
鬾	ji
鬿	qi
鬸	liu
鬹	gui
鬺	shang
鬻	yu
鬴	fu
鬵	qin
鬶	gui
鬷	zeng
鬰	yu
鬱	yu
鬲	ge
鬳	yan
魋	tui
魊	yu
魉	liang
魈	xiao
魏	wei
魎	liang
魍	wang
魌	qi
魃	ba
魂	hun
魁	kui
魀	ga
魇	yan
魆	xu
魅	mei
魄	po
魚	yu
魛	dao
魘	yan
魙	zhan
魞	ba
魟	hong
魜	ren
魝	jie
魒	piao
魓	bi
魐	gan
魑	chi
魖	xu
魗	chou
魔	mo
魕	qi
魩	mo
魨	tun
魫	shen
魪	jie
魬	ban
魯	lu
魮	pi
魠	tuo
魣	xu
魢	ji
魤	e
魦	shao
魸	pian
魹	mo
魺	he
魻	qia
魼	xie
魽	han
魾	pi
魿	lin
魰	jiao
魱	hu
魲	lu
魳	bei
魴	fang
魵	fen
魶	na
魷	you
鳿	yu
鳾	shi
鳽	jian
鳼	wen
鳻	fen
鳺	fu
鳹	qin
鳸	hu
鳷	zhi
鳶	yuan
鳵	bao
鳴	ming
鳳	feng
鳲	shi
鳱	gan
鳰	ru
鳮	ji
鳯	feng
鳬	fu
鳭	diao
鳪	bu
鳫	yan
鳨	li
鳩	jiu
鳦	yi
鳧	fu
鳤	guan
鳥	niao
鳢	li
鳣	zhan
鳠	hu
鳡	gan
鳝	shan
鳜	gui
鳟	zun
鳞	lin
鳙	yong
鳘	min
鳛	xi
鳚	wei
鳕	xue
鳔	biao
鳗	man
鳖	bie
鳑	pang
鳐	yao
鳓	le
鳒	jian
鳌	ao
鳍	qi
鳎	ta
鳏	guan
鳈	quan
鳉	jiang
鳊	bian
鳋	sao
鳄	e
鳅	qiu
鳆	fu
鳇	huang
鳀	ti
鳁	wen
鳂	wei
鳃	sai
鲻	zi
鲺	shi
鲹	shen
鲸	jing
鲿	chang
鲾	bi
鲽	die
鲼	fen
鲳	chang
鲲	kun
鲱	fei
鲰	zou
鲷	diao
鲶	nian
鲵	ni
鲴	gu
鲪	jun
鲫	ji
鲨	sha
鲩	huan
鲮	ling
鲯	qi
鲬	yong
鲭	qing
鲢	lian
鲣	jian
鲠	geng
鲡	li
鲦	tiao
鲧	gun
鲤	li
鲥	shi
鲙	kuai
鲘	hou
鲛	jiao
鲚	ji
鲝	zha
鲜	xian
鲟	xun
鲞	xiang
鲑	gui
鲐	tai
鲓	kao
鲒	jie
鲕	er
鲔	wei
鲗	zei
鲖	tong
鲈	lu
鲉	you
鲊	zha
鲋	fu
鲍	bao
鲎	hou
鲏	pi
鲀	tun
鲁	lu
鲂	fang
鲃	ba
鲄	ge
鲅	ba
鲆	ping
鲇	nian
鱶	xiang
鱷	e
鱴	mie
鱵	zhen
鱲	la
鱳	li
鱰	shu
鱱	li
鱾	ji
鱿	you
鱼	yu
鱽	dao
鱺	li
鱻	xian
鱸	lu
鱹	guan
鱧	li
鱦	ying
鱥	gui
鱤	gan
鱣	zhan
鱢	sao
鱡	zei
鱠	kuai
鱯	hu
鱮	yu
鱭	ji
鱬	ru
鱫	ai
鱪	shu
鱩	lei
鱨	chang
鱔	shan
鱕	fan
鱖	gui
鱗	lin
鱐	su
鱑	huang
鱒	zun
鱓	shan
鱜	xiang
鱝	fen
鱞	guan
鱟	hou
鱘	xun
鱙	miao
鱚	xi
鱛	zeng
鱅	yong
鱄	tuan
鱇	kang
鱆	zhang
鱁	zhu
鱀	ji
鱃	qiu
鱂	jiang
鱍	bo
鱌	xiang
鱏	xun
鱎	jiao
鱉	bie
鱈	xue
鱋	qu
鱊	yu
鰲	ao
鰳	le
鰰	shen
鰱	lian
鰶	ji
鰷	tiao
鰵	min
鰺	shen
鰻	man
鰸	qu
鰹	jian
鰾	biao
鰿	ji
鰼	xi
鰽	qiu
鰣	shi
鰢	ma
鰡	liu
鰠	sao
鰧	teng
鰦	zi
鰥	guan
鰤	shi
鰫	yong
鰪	e
鰩	yao
鰨	ta
鰯	ruo
鰮	wen
鰭	qi
鰬	qian
鰐	e
鰑	yang
鰒	fu
鰓	sai
鰔	gan
鰕	xia
鰖	wei
鰗	hu
鰘	shi
鰙	ruo
鰚	xuan
鰛	wen
鰜	jian
鰝	hao
鰞	wu
鰟	pang
鰁	quan
鰀	huan
鰃	wei
鰂	zei
鰅	yu
鰄	wei
鰇	rou
鰆	chun
鰉	huang
鰈	die
鰋	yan
鰊	lian
鰍	qiu
鰌	qiu
鰏	bi
鰎	jian
鷬	huang
鷭	fan
鷯	liao
鷨	hua
鷪	ying
鷫	su
鷥	si
鷦	jiao
鷧	yi
鷠	yu
鷡	wu
鷢	jue
鷣	yin
鷽	xue
鷼	xian
鷿	pi
鷾	yi
鷹	ying
鷸	yu
鷻	tuan
鷺	lu
鷵	tu
鷴	xian
鷷	zun
鷶	mai
鷱	gao
鷰	yan
鷳	xian
鷲	jiu
鷎	gao
鷏	tian
鷌	ma
鷍	xiao
鷊	yi
鷋	tu
鷈	ti
鷉	si
鷆	tian
鷇	kou
鷄	ji
鷅	li
鷂	yao
鷃	yan
鷀	ci
鷁	yi
鷟	zhuo
鷞	shuang
鷝	bi
鷜	lv
鷛	yong
鷚	liu
鷙	zhi
鷘	chi
鷗	ou
鷖	yi
鷕	yao
鷔	ao
鷓	zhe
鷒	tuan
鷑	ji
鷐	chen
鶨	zhi
鶩	wu
鶫	dong
鶬	qiang
鶭	fang
鶮	he
鶯	ying
鶠	yan
鶢	yuan
鶣	pian
鶤	kun
鶥	mei
鶦	hu
鶧	ying
鶹	liu
鶸	ruo
鶻	gu
鶺	ji
鶽	xun
鶼	jian
鶿	ci
鶾	han
鶱	xian
鶰	yuan
鶳	shi
鶲	weng
鶵	chu
鶴	he
鶷	xia
鶶	tang
鶊	geng
鶋	ju
鶈	qi
鶉	chun
鶎	zun
鶏	ji
鶌	qu
鶍	yi
鶂	yi
鶃	yi
鶀	qi
鶁	jing
鶆	mai
鶇	dong
鶄	jing
鶅	zi
鶛	jie
鶚	e
鶙	ti
鶘	hu
鶟	tu
鶞	chun
鶝	fu
鶜	mao
鶓	miao
鶒	chi
鶐	shu
鶗	ti
鶖	qiu
鶕	an
鶔	rou
鵥	pan
鵤	jiao
鵧	pi
鵦	lu
鵡	wu
鵠	hu
鵣	lai
鵢	shen
鵭	qiu
鵬	peng
鵯	bei
鵮	qian
鵩	fu
鵨	shu
鵫	zhuo
鵪	an
鵴	ju
鵵	tu
鵶	ya
鵷	yuan
鵰	diao
鵱	lu
鵲	que
鵳	jian
鵼	kong
鵽	duo
鵾	kun
鵿	sheng
鵸	qi
鵹	li
鵺	ye
鵻	zhui
鵇	nian
鵆	heng
鵅	luo
鵄	chi
鵃	zhou
鵂	xiu
鵁	jiao
鵀	ren
鵏	bu
鵎	tuo
鵍	huan
鵌	tu
鵋	ji
鵊	jia
鵉	luan
鵈	e
鵖	lang
鵗	xi
鵔	jun
鵕	jun
鵒	yu
鵓	bo
鵐	wu
鵑	juan
鵞	e
鵟	kuang
鵜	ti
鵝	e
鵚	tu
鵛	jing
鵘	jun
鵙	ju
鴡	ju
鴠	dan
鴣	gu
鴢	yao
鴥	yu
鴤	zhong
鴧	rong
鴦	yang
鴩	yi
鴨	ya
鴫	tian
鴪	yu
鴭	dui
鴬	xue
鴯	er
鴮	wu
鴰	gua
鴱	ai
鴲	zhi
鴳	yan
鴴	heng
鴵	jiao
鴶	jie
鴷	lie
鴸	zhu
鴹	yang
鴻	hong
鴽	ru
鴾	mou
鴿	ge
鴃	gui
鴂	gui
鴁	yao
鴀	fou
鴇	bao
鴆	zhen
鴅	huan
鴄	pi
鴋	fang
鴊	zheng
鴉	ya
鴈	yan
鴏	dai
鴎	ou
鴍	wen
鴌	feng
鴒	ling
鴓	mi
鴐	ge
鴑	ru
鴖	wen
鴗	li
鴔	fu
鴕	tuo
鴚	ge
鴛	yuan
鴘	pian
鴙	zhi
鴞	xiao
鴟	chi
鴜	ci
鴝	qu
黙	mo
默	mo
黛	dai
黚	jian
黝	you
黜	chu
黟	yi
點	dian
黑	hei
黐	chi
黓	yi
黒	hei
黕	dan
黔	qian
黗	tun
黖	xi
黈	tou
黉	hong
黊	hua
黋	kuang
黌	hong
黍	shu
黎	li
黏	nian
黀	zou
黂	fen
黃	huang
黄	huang
黅	jin
黆	guang
黇	tian
黻	fu
黺	fen
黹	zhi
黸	lu
黿	yuan
黾	min
黽	min
黼	fu
黳	yi
黲	can
黱	dai
黰	zhen
黷	du
黶	yan
黵	zhan
黴	mei
黪	can
黫	yan
黨	dang
黩	du
黮	tan
黯	an
黬	yan
黭	yan
黢	qu
黣	mei
黠	xia
黡	yan
黦	ye
黧	li
黤	yan
黥	qing
麝	she
麜	li
麟	lin
麞	zhang
麙	yan
麘	xiang
麚	jia
麕	qun
麔	jiu
麗	li
麖	jing
麑	ni
麐	lin
麓	lu
麒	qi
麌	yu
麍	liu
麎	chen
麏	jun
麈	zhu
麉	jian
麊	mi
麋	mi
麄	cu
麅	pao
麆	zhu
麀	you
麁	cu
麂	ji
麿	mo
麾	hui
麻	ma
麺	mian
麹	qu
麸	fu
麷	feng
麶	chi
麵	mian
麴	qu
麳	lai
麲	yan
麱	fu
麰	mou
麮	qu
麯	qu
麬	fu
麭	pao
麪	mian
麫	mian
麨	chao
麩	fu
麦	mai
麧	he
麤	cu
麥	mai
麢	ling
麣	yan
麠	jing
麡	qi
鹐	qian
鹑	chun
鹒	geng
鹓	yuan
鹔	su
鹕	hu
鹖	he
鹗	e
鹙	qiu
鹚	ci
鹛	mei
鹜	wu
鹝	yi
鹞	yao
鹟	weng
鹁	bo
鹀	wu
鹃	juan
鹂	li
鹅	e
鹇	xian
鹆	yu
鹉	wu
鹈	ti
鹋	miao
鹊	que
鹍	kun
鹌	an
鹏	peng
鹎	bei
鹲	meng
鹳	guan
鹰	ying
鹱	hu
鹶	jin
鹷	ling
鹴	shuang
鹵	lu
鹺	cuo
鹻	jian
鹸	jian
鹹	xian
鹾	cuo
鹿	lu
鹼	jian
鹽	yan
鹣	jian
鹢	yi
鹡	ji
鹠	liu
鹧	zhe
鹦	ying
鹥	yi
鹤	he
鹫	jiu
鹪	jiao
鹩	liao
鹨	liu
鹯	zhan
鹮	huan
鹭	lu
鹬	yu
鸔	bo
鸕	lu
鸖	he
鸗	long
鸐	di
鸑	yue
鸒	yu
鸓	lei
鸜	gou
鸝	li
鸞	luan
鸟	niao
鸘	shuang
鸙	yue
鸚	ying
鸛	guan
鸅	ze
鸄	ji
鸇	zhan
鸆	yu
鸁	luo
鸃	yi
鸂	xi
鸍	mi
鸌	hu
鸏	meng
鸎	ying
鸉	yang
鸈	ye
鸋	ning
鸊	pi
鸶	si
鸷	zhi
鸴	xue
鸵	tuo
鸲	qu
鸳	yuan
鸰	ling
鸱	chi
鸾	luan
鸿	hong
鸼	zhou
鸽	ge
鸺	xiu
鸻	heng
鸸	er
鸹	gua
鸧	qiang
鸦	ya
鸥	ou
鸤	shi
鸣	ming
鸢	yuan
鸡	ji
鸠	jiu
鸯	yang
鸮	xiao
鸭	ya
鸬	lu
鸫	dong
鸪	gu
鸩	zhen
鸨	bao
龎	pang
龏	gong
龌	wo
龍	long
龊	chuo
龋	qu
龉	yu
龆	tiao
龇	zi
龄	ling
龅	bao
龂	yin
龃	ju
龀	chen
龁	he
龟	gui
龞	bie
龝	qiu
龛	kan
龚	gong
龙	long
龘	ta
龗	ling
龖	ta
龕	kan
龔	gong
龓	long
龒	long
龑	yan
龐	pang
龤	xie
龥	yu
龠	yue
龡	yu
龢	he
齃	e
齂	xie
齁	ku
齀	wu
齇	zha
齆	weng
齅	xiu
齄	zha
齋	zhai
齊	qi
齉	nang
齈	nong
齏	ji
齎	ji
齍	ji
齌	ji
齒	chi
齓	chen
齐	qi
齑	ji
齖	ya
齗	yan
齔	chen
齕	he
齚	ze
齛	xie
齘	xie
齙	bao
齞	yan
齟	ju
齜	zi
齝	chi
齡	ling
齠	tiao
齣	chu
齢	ling
齥	xie
齤	quan
齧	nie
齩	yao
齨	jiu
齫	yun
齪	chuo
齭	chu
齬	yu
齯	ni
齮	yi
齰	ze
齱	chuo
齲	qu
齳	yun
齴	yan
齵	qu
齶	e
齷	wo
齸	yi
齹	cuo
齺	zou
齻	dian
齼	chu
齽	jin
齾	ya
齿	chi
鼇	ao
鼆	ming
鼅	zhi
鼄	zhu
鼃	wa
鼂	zhao
鼁	qu
鼀	cu
鼏	mi
鼎	ding
鼍	tuo
鼌	chao
鼋	yuan
鼊	bi
鼉	tuo
鼈	bie
鼖	fen
鼗	tao
鼔	gu
鼕	dong
鼒	zi
鼓	gu
鼐	nai
鼑	ding
鼞	tang
鼟	teng
鼜	qi
鼝	yuan
鼚	chang
鼛	gao
鼘	yuan
鼙	pi
鼥	ba
鼤	wen
鼧	tuo
鼦	diao
鼡	shu
鼠	shu
鼣	fei
鼢	fen
鼭	shi
鼬	you
鼯	wu
鼮	ting
鼩	qu
鼨	zhong
鼫	shi
鼪	sheng
鼴	yan
鼵	tu
鼶	si
鼷	xi
鼰	nian
鼱	jing
鼲	hun
鼳	ju
鼼	ya
鼽	qiu
鼾	han
鼿	wu
鼸	xian
鼹	yan
鼺	lei
鼻	bi
逫	jue
逪	cuo
逩	ben
逨	lai
逯	lu
逮	dai
逭	huan
逬	beng
連	lian
逢	feng
逡	qun
造	zao
逧	gu
逦	li
逥	hui
逤	suo
逺	yuan
逻	luo
逸	yi
逹	da
逾	yu
逿	dang
逼	bi
逽	nuo
進	jin
逳	yu
逰	you
週	zhou
逶	wei
逷	ti
逴	chuo
逵	kui
选	xuan
逈	jiong
逋	bu
逊	xun
逍	xiao
逌	you
透	tou
逎	qiu
送	song
退	tui
逃	tao
适	shi
逅	hou
逄	pang
逇	dun
逆	ni
逘	yi
通	tong
逛	guang
逜	wu
逝	shi
逞	cheng
速	su
逐	zhu
逑	qiu
递	di
逓	di
途	tu
逕	jing
逖	ti
逗	dou
遯	dun
遮	zhe
遭	zao
遬	su
遫	chi
遪	cha
適	shi
遨	ao
遧	zhang
遦	guan
遥	yao
遤	ma
遣	qian
遢	ta
遡	su
遠	yuan
遾	shi
避	bi
遼	liao
遽	ju
遺	yi
遻	e
選	xuan
遹	yu
遶	rao
遷	qian
遴	lin
遵	zun
遲	chi
遳	cuo
遰	di
遱	lou
遍	bian
遌	e
遏	e
過	guo
遉	zhen
遈	shi
運	yun
遊	you
遅	chi
遄	chuan
遇	yu
遆	ti
遁	dun
遀	sui
遃	yan
遂	sui
遜	xun
遝	ta
遞	di
遟	zhi
遘	gou
遙	yao
遚	chou
遛	liu
達	da
違	wei
遖	nan
遗	yi
遐	xia
遑	huang
遒	qiu
道	dao
邢	xing
那	na
邠	bin
邡	fang
邦	bang
邧	yuan
邤	xin
邥	shen
邪	xie
邫	bang
邨	cun
邩	huo
邮	you
邯	han
邬	wu
邭	qu
邳	pi
邲	bi
邱	qiu
邰	tai
邷	wa
邶	bei
邵	shao
邴	bing
邻	lin
邺	ye
邹	zou
邸	di
邿	shi
邾	zhu
邽	gui
邼	kuang
邀	yao
邁	mai
邂	xie
邃	sui
邅	zhan
邆	teng
邇	er
邈	miao
邉	bian
邊	bian
邋	la
邌	li
邍	yuan
邎	you
邏	luo
邑	yi
邐	li
邓	deng
邒	yu
邕	yong
邔	qi
邗	han
邖	shan
邙	mang
邘	yu
邛	qiong
邚	ru
邝	kuang
邜	wan
邟	kang
邞	fu
郦	li
郧	yun
郤	xi
郥	ju
郢	ying
郣	bo
郠	geng
郡	jun
郮	zhou
郯	tan
郬	qing
郭	guo
郪	qi
郫	pi
部	bu
郩	xiao
郷	xiang
郶	bu
郵	you
郴	chen
郳	ni
郲	lai
郱	ping
郰	zou
郿	mei
郾	yan
郼	yi
郻	qiao
郺	yong
郹	ju
郸	dan
郄	qie
郅	zhi
郆	ji
郀	ku
郁	yu
郂	gai
郃	he
郌	gui
郍	na
郎	lang
郏	jia
郈	hou
郉	xing
郊	jiao
郋	xi
郕	cheng
郔	yan
郗	xi
郖	dou
郑	zheng
郐	kuai
郓	yun
郒	lang
郝	hao
郜	gao
郟	jia
郞	lang
郙	fu
郘	lv
郛	fu
郚	wu
鄸	meng
鄹	zou
鄺	kuang
鄻	lian
鄽	chan
鄾	you
鄿	ji
鄰	lin
鄱	po
鄲	dan
鄳	meng
鄴	ye
鄵	cao
鄶	kuai
鄷	feng
鄩	xun
鄨	bi
鄫	ceng
鄪	bi
鄭	zheng
鄬	wei
鄯	shan
鄮	mao
鄡	qiao
鄠	hu
鄣	zhang
鄢	yan
鄥	wu
鄤	man
鄧	deng
鄦	xu
鄚	mao
鄛	chao
鄘	yong
鄙	bi
鄞	yin
鄟	tuan
鄜	fu
鄝	liao
鄒	zou
鄓	ye
鄐	chu
鄑	zi
鄖	yun
鄗	hao
鄔	wu
鄕	xiang
鄋	sou
鄊	xiang
鄉	xiang
鄈	kui
鄏	ru
鄎	xi
鄍	ming
鄌	tang
鄃	shu
鄂	e
鄁	bei
鄀	ruo
鄇	hou
鄆	yun
鄅	yu
鄄	juan
酼	hai
酽	yan
酾	shai
酿	niang
酸	suan
酹	lei
酺	pu
酻	fu
酴	tu
酵	jiao
酶	mei
酷	ku
酰	xian
酱	jiang
酲	cheng
酳	yin
酭	you
酬	chou
酯	zhi
酮	tong
酩	ming
酨	zai
酫	chuo
酪	lao
酥	su
酤	gu
酧	chou
酦	po
酡	tuo
酠	qia
酣	han
酞	tai
酟	tian
酜	fu
酝	yun
酚	fen
酛	yuan
酘	dou
酙	zhen
酗	xu
酔	zui
酕	mao
酒	jiu
酓	yan
酐	gan
酑	yu
酏	yi
酎	zhou
配	pei
酌	zhuo
酋	qiu
酊	ding
酉	you
酈	li
酇	zan
酆	feng
酅	xi
酄	huan
酃	ling
酁	chan
酀	yan
醱	po
醰	tan
醳	yi
醲	nong
醵	ju
醴	li
醶	yan
醹	ru
醸	niang
醻	chou
醺	xun
醽	ling
醼	yan
醿	mi
醾	mi
醠	ang
醡	zha
醢	hai
醣	tang
醤	jiang
醥	piao
醦	chan
醧	ou
醨	li
醩	zao
醪	lao
醫	yi
醬	jiang
醭	bu
醮	jiao
醯	xi
醓	tan
醒	xing
醑	xu
醐	hu
醗	fa
醖	yun
醕	chun
醔	qiu
醛	quan
醚	mi
醙	sou
醘	ke
醟	yong
醞	yun
醝	cuo
醜	chou
醂	lan
醀	wei
醁	lu
醆	zhan
醇	chun
醄	tao
醅	pei
醊	zhui
醋	cu
醈	dan
醉	zui
醎	jian
醏	du
醌	kun
醍	ti
釵	chai
釴	yi
釷	tu
釶	yi
釱	di
釰	ri
釳	xi
釲	si
釽	pi
釼	jian
釿	yin
釾	ya
釹	nv
釸	xi
釻	qiu
釺	qian
釤	shan
釥	qiao
釦	kou
釧	chuan
釠	ji
釡	fu
釢	nai
釣	diao
釬	han
釭	gang
釮	qi
釯	mang
釨	zi
釩	fan
釪	yu
釫	wu
釗	zhao
釕	liao
釔	yi
釓	ga
金	jin
釐	li
釟	ba
釞	zhi
針	zhen
釜	fu
釛	he
釚	qiu
釙	po
釘	ding
釆	bian
采	cai
釄	mi
釅	yan
釂	jiao
釃	shi
釀	niang
釁	xin
野	ye
量	liang
里	li
释	shi
釋	shi
釈	shi
釉	you
鈍	dun
鈌	jue
鈏	yin
鈎	gou
鈉	na
鈈	bu
鈋	e
鈊	qin
鈄	dou
鈇	fu
鈆	qian
鈁	fang
鈀	ba
鈃	xing
鈂	qin
鈜	hong
鈝	yin
鈞	jun
鈟	diao
鈘	yi
鈙	qin
鈚	pi
鈛	guo
鈔	chao
鈕	niu
鈖	fen
鈗	yun
鈐	qian
鈑	ban
鈒	xi
鈓	ren
鈮	ni
鈭	zi
鈬	duo
鈫	wen
鈩	lu
鈨	yuan
鈧	kang
鈦	tai
鈥	huo
鈤	nie
鈣	gai
鈢	xi
鈡	zhong
鈠	yi
鈾	you
鈼	zuo
鈽	bu
鈺	yu
鈻	si
鈸	bo
鈹	pi
鈶	si
鈷	gu
鈴	ling
鈵	bing
鈲	gu
鈳	ke
鈰	shi
鈱	min
鉉	xuan
鉈	ta
鉋	bao
鉊	zhao
鉍	bi
鉌	he
鉏	chu
鉎	sheng
鉁	zhen
鉀	jia
鉃	shi
鉂	shi
鉅	ju
鉄	tie
鉇	yi
鉆	zuan
鉘	fu
鉙	zhai
鉚	mao
鉛	qian
鉜	fu
鉝	li
鉞	yue
鉟	pi
鉐	shi
鉑	bo
鉒	zhu
鉓	chi
鉔	za
鉕	po
鉖	tong
鉗	qian
鉫	jia
鉪	di
鉩	xi
鉨	ni
鉯	yi
鉮	huan
鉭	tan
鉬	mu
鉣	jie
鉢	bo
鉡	ban
鉠	yang
鉧	mu
鉦	zheng
鉥	shu
鉤	gou
鉺	er
鉻	ge
鉸	jiao
鉹	chi
鉾	mao
鉿	ha
鉼	bing
鉽	shi
鉲	ka
鉳	bei
鉰	si
鉱	kuang
鉶	xing
鉷	hong
鉴	jian
鉵	tong
銄	jiong
銅	tong
銆	mo
銇	lei
銀	yin
銁	jun
銂	zhou
銃	chong
銌	zun
銍	zhi
銎	qiong
銏	shan
銈	ji
銉	yu
銊	xu
銋	ren
銕	tie
銔	pi
銗	hou
銖	zhu
銐	chi
銓	quan
銒	xing
銝	xiu
銜	xian
銟	cha
銞	jun
銙	kua
銘	ming
銛	xian
銦	yin
銧	guang
銤	mi
銥	yi
銢	pi
銣	ru
銠	lao
銡	ji
銮	luan
銯	si
銬	kao
銭	qian
銪	you
銫	se
銨	an
銩	diu
銷	xiao
銶	qiu
銵	keng
銴	zhi
銳	rui
銲	han
銱	diao
銿	yong
銾	gong
銽	gua
銼	cuo
銻	ti
銺	zang
銹	xiu
銸	nie
鋀	dou
鋁	lv
鋂	mei
鋃	lang
鋄	wan
鋅	xin
鋆	yun
鋇	bei
鋈	wu
鋉	su
鋊	yu
鋋	chan
鋌	ting
鋍	bo
鋎	han
鋏	jia
鋑	juan
鋐	hong
鋓	chan
鋒	feng
鋕	zhi
鋔	wan
鋗	juan
鋖	tuo
鋙	wu
鋛	kuang
鋚	tiao
鋝	lue
鋜	zhuo
鋟	qin
鋞	xiang
鋢	lue
鋣	ye
鋠	shen
鋡	han
鋦	ju
鋧	xian
鋤	chu
鋥	zeng
鋪	pu
鋫	li
鋨	e
鋩	mang
鋮	cheng
鋯	gao
鋬	pan
鋭	rui
鋳	zhu
鋲	bing
鋱	te
鋰	li
鋷	zui
鋶	liu
鋵	tu
鋴	zhen
鋻	jian
鋺	wan
鋹	chang
鋸	ju
鋿	chang
鋾	tao
鋽	diao
鋼	gang
錞	dui
錟	tan
錜	nie
錝	zong
錚	zheng
錛	ben
錘	chui
錙	zi
錖	du
錗	wei
錔	ta
錕	kun
錒	a
錓	kong
錐	zhui
錑	lei
錏	ya
錎	gan
錍	bi
錌	an
錋	beng
錊	zu
錉	min
錈	juan
錇	pei
錆	qiang
錅	li
錄	lu
錃	bei
錂	ling
錁	ke
錀	lun
錼	nai
錽	wan
錾	zan
錿	hu
錸	lai
錹	ken
錺	fang
錻	wu
錴	lu
錵	hua
